Simulation_ID,Directory,File,Chain,Type,State,Role,Partner,CoFactor_Name,CoFactor_aC_Dist,CoFactor_ActLoop_Dist,Interface_C_Lobe_Donor_Dist,Interface_N_Lobe_Rec_Dist,R_Spine,C_Spine,C_Helix,Shell_State,Spatial,Dihedral,ActLoop_NT,ActLoop_CT,Phi_D,Psi_D,Cleft_Gape_Dist,Mg_Hijack_Dist,Substrate_Clearance_Angle,D1_Dist,D2_Dist,SB_Dist,HRD_ATP_Dist,DFG_Mg_Dist,DFG_ATP_Dist,PLoop_ATP_Dist,aCb4_aE_Dist,Spine_Bridge_Dist,V104_RS2_Dist,I150_HRD_Dist,Shell_M118_M120_Dist,Y156_N99_Dist,K105_E107_Dist,K105_E121_Dist,K105_N99_Dist,D220_HRD_Dist,ipTM,pTM,PAE_A_to_B,PAE_B_to_A,PAE_Mean_AB,Clean_Sim_ID,Condition_designed,Physical_Chain_State,Condition_reviewed,Sim_Has_Mismatch,Actual_Target_Apo,Physical_State,Condition_clean,Condition_physical,Condition,Macro_State,Binary_State,Binary_C_Helix,Binary_R_Spine,Binary_Spatial
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1076889_sample-0_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1076889_sample-0,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.58,9.37,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.5,56.04,16.19,NA,NA,6.85,15.28,2.75,NA,NA,NA,NA,3.25,7.67,7.2,9.95,4.09,8.4,3.6,3.37,3.1,3.42,0.82,0.85,10.32,10.64,10.48,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1076889_sample-1_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1076889_sample-1,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.56,9.28,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,58.44,56.18,15.59,NA,NA,7,15.29,2.89,NA,NA,NA,NA,3.17,7.67,7.26,9.97,4.06,8.44,3.75,3.41,3.13,3.42,0.81,0.84,10.37,10.77,10.57,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1076889_sample-2_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1076889_sample-2,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.58,10.51,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.9,57.98,15.49,NA,NA,6.81,15.01,2.82,NA,NA,NA,NA,3.32,7.69,7.27,9.95,4.09,8.5,3.82,3.44,3,3.44,0.81,0.84,10.52,10.87,10.7,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1076889_sample-3_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1076889_sample-3,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.55,10.62,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,56.35,57.11,15.96,NA,NA,6.86,15.14,2.92,NA,NA,NA,NA,3.01,7.69,7.26,9.98,3.96,8.51,3.73,3.81,3.02,3.42,0.81,0.85,10.4,10.74,10.57,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 2,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1076889_sample-4_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1076889_sample-4,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.5,9.69,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,59.85,59.19,15.87,NA,NA,6.87,15.16,2.86,NA,NA,NA,NA,3.18,7.7,7.26,10.05,4.07,8.48,3.77,3.43,3.01,3.44,0.81,0.84,10.47,10.89,10.68,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1157563_sample-0_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1157563_sample-0,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.56,9.53,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,55.67,56.98,16.62,NA,NA,6.94,15.41,2.66,NA,NA,NA,NA,3.09,7.72,7.26,9.96,4.08,8.5,3.83,3.44,3,3.47,0.81,0.84,10.53,10.88,10.71,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1157563_sample-1_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1157563_sample-1,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.53,9.91,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,59.23,62.69,16.08,NA,NA,6.78,14.89,2.77,NA,NA,NA,NA,3.21,7.74,7.26,9.97,4.08,8.63,3.77,3.46,3.32,3.35,0.81,0.84,10.56,10.75,10.66,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1157563_sample-2_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1157563_sample-2,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.51,9.56,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.49,54.22,15.9,NA,NA,6.94,15.26,2.74,NA,NA,NA,NA,3.17,7.68,7.24,10.06,3.99,8.41,3.69,3.87,3.21,3.45,0.81,0.84,10.51,10.9,10.71,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 2,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1157563_sample-3_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1157563_sample-3,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.52,10.5,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.01,59.47,15.57,NA,NA,6.84,15.17,2.76,NA,NA,NA,NA,3.16,7.66,7.27,9.98,4.1,8.52,3.74,3.42,3.06,3.36,0.81,0.84,10.49,10.68,10.59,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1157563_sample-4_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1157563_sample-4,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.51,9.53,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.03,58.27,16.18,NA,NA,6.91,15.24,2.73,NA,NA,NA,NA,3.45,7.65,7.29,10.06,4.07,8.46,3.79,3.45,3.02,3.45,0.8,0.84,10.67,11,10.84,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1202247_sample-0_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1202247_sample-0,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.6,9.85,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,59.37,59.71,16.21,NA,NA,6.87,15.04,2.76,NA,NA,NA,NA,3.24,7.71,7.23,10.06,4.07,8.63,3.73,3.41,3.17,3.41,0.82,0.85,10.22,10.44,10.33,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1202247_sample-1_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1202247_sample-1,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.48,8.74,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,56.81,59.25,15.16,NA,NA,6.81,14.96,3.21,NA,NA,NA,NA,3.1,7.77,7.27,10.01,4.02,8.54,4.07,3.43,3.32,3.39,0.81,0.85,10.36,10.58,10.47,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1202247_sample-2_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1202247_sample-2,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.55,10.95,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.38,56.57,14.26,NA,NA,6.88,14.98,3.08,NA,NA,NA,NA,3.16,7.72,7.23,10,4.05,8.38,3.77,3.49,3.19,3.44,0.82,0.85,10.38,10.61,10.5,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1202247_sample-3_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1202247_sample-3,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.58,10.52,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,56.49,56.71,15.51,NA,NA,6.89,15.08,3.04,NA,NA,NA,NA,3.18,7.64,7.25,9.98,4.05,8.52,3.72,3.38,3.09,3.41,0.82,0.85,10.43,10.5,10.46,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1202247_sample-4_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1202247_sample-4,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.53,9.45,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.83,58.15,15.21,NA,NA,6.86,15.08,2.89,NA,NA,NA,NA,3.13,7.68,7.26,9.99,3.95,8.46,3.72,3.87,3.15,3.44,0.82,0.85,10.24,10.28,10.26,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 2,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1220927_sample-0_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1220927_sample-0,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.55,9.82,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.44,56.18,16.12,NA,NA,6.98,15.4,2.9,NA,NA,NA,NA,3.08,7.69,7.24,10.03,4.06,8.48,3.64,3.46,3.16,3.47,0.81,0.84,10.52,10.74,10.63,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1220927_sample-1_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1220927_sample-1,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.51,9.44,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,56.47,56.65,15.37,NA,NA,6.92,15.09,2.94,NA,NA,NA,NA,3.14,7.68,7.27,10.03,4.07,8.5,3.78,3.42,3.18,3.43,0.81,0.84,10.74,10.91,10.82,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
a-csk-wtcat-apo_b-src-wtcat-apo_seed-1220927_sample-2_model,a-csk-wtcat-apo_b-src-wtcat-apo/seed-1220927_sample-2,model.cif,B,SRC-WT,Active (BLAminus),C-lobe Donor,A,NA,NA,NA,2.55,9.54,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.69,56.99,16.31,NA,NA,6.84,15.26,2.72,NA,NA,NA,NA,3.28,7.68,7.22,10.06,4.07,8.49,3.68,3.35,3.13,3.44,0.81,0.84,10.67,10.89,10.78,a-csk-wtcat-apo_b-src-wtcat-apo,"csk-wtcat-apo
src-wtcat-apo",apo,"csk-wtcat-apo
src-wtcat-apo",FALSE,TRUE,Apo,"csk-wtcat-apo
src-wtcat-apo","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]","csk-wtcat-apo
src-wtcat-apo
[SRC = Apo]",State 1,Active (BLAminus),In,Intact,DFGin
